epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1277.93,1.03775,0.58189,0.95396,0.73972,0.7656,0.71935,0.48117,0.85621,0.57486,1.03755,0.000848969,0.000848969,0.000848969
43,1310.45,1.05134,0.58158,0.96165,0.84592,0.73083,0.7711,0.5291,0.88855,0.59761,1.0568,0.000834822,0.000834822,0.000834822
44,1339.28,1.02493,0.56883,0.94711,0.72093,0.58429,0.68176,0.43177,0.94422,0.66,1.09651,0.000820675,0.000820675,0.000820675
45,1371.88,1.02599,0.5724,0.9556,0.72169,0.72376,0.67728,0.4719,0.86326,0.52992,1.04095,0.000806528,0.000806528,0.000806528
46,1404.07,1.03735,0.58146,0.96189,0.6979,0.76811,0.71944,0.4963,0.93175,0.55784,1.07311,0.00079238,0.00079238,0.00079238
47,1436.75,1.01125,0.56699,0.94868,0.74447,0.77842,0.76409,0.49965,0.96175,0.61788,1.07293,0.000778233,0.000778233,0.000778233
48,1467.38,1.0144,0.56048,0.94753,0.78102,0.73573,0.71533,0.46547,0.95099,0.73993,1.08123,0.000764086,0.000764086,0.000764086
49,1497.07,1.02089,0.56523,0.94772,0.75778,0.8145,0.74565,0.49492,0.96329,0.65359,1.073,0.000749939,0.000749939,0.000749939
50,1527.31,1.00957,0.55373,0.94411,0.73954,0.71749,0.73712,0.48681,0.93996,0.58093,1.08735,0.000735792,0.000735792,0.000735792
51,1559.24,1.02221,0.5526,0.94823,0.75145,0.69836,0.70764,0.47479,1.00641,0.55802,1.08344,0.000721645,0.000721645,0.000721645
52,1592.98,1.01389,0.54686,0.94496,0.73114,0.78614,0.69608,0.46696,0.92969,0.59664,1.08354,0.000707498,0.000707498,0.000707498
53,1626.31,0.99506,0.54526,0.9386,0.72703,0.7133,0.69053,0.47523,0.96962,0.64098,1.08322,0.000693351,0.000693351,0.000693351
54,1659.45,1.00504,0.55851,0.94906,0.7117,0.80176,0.69264,0.47313,0.90837,0.60037,1.07623,0.000679204,0.000679204,0.000679204
55,1692.24,0.99769,0.55194,0.9477,0.73275,0.71319,0.68625,0.4882,0.88246,0.50736,1.04987,0.000665057,0.000665057,0.000665057
56,1723.65,0.98549,0.54422,0.93809,0.74713,0.72013,0.77789,0.50163,1.06204,0.61682,1.1252,0.000650909,0.000650909,0.000650909
