Metric,v16,v17,Difference,Winner
mAP@50,0.8572441007508439,0.8313383675188528,-0.02590573323199108,v16
mAP@50-95,0.6501880942051342,0.591482766269213,-0.0587053279359212,v16
precision,0.9034156236132898,0.9117968835807014,0.00838125996741168,v17
recall,0.7151755762658841,0.7175338227517374,0.002358246485853255,v17
