epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1274.52,0.93717,0.53354,0.92566,0.689,0.89169,0.68198,0.50836,0.75292,0.53722,1.00225,0.000848969,0.000848969,0.000848969
43,1303.95,0.93557,0.53574,0.92784,0.73737,0.78751,0.71789,0.5352,0.75217,0.54948,1.02082,0.000834822,0.000834822,0.000834822
44,1335.35,0.90347,0.51887,0.91683,0.68413,0.78902,0.66601,0.49751,0.7206,0.55433,1.00816,0.000820675,0.000820675,0.000820675
45,1366.42,0.91116,0.51712,0.92035,0.71749,0.80787,0.71458,0.52916,0.71895,0.50702,1.00234,0.000806528,0.000806528,0.000806528
46,1398.55,0.93007,0.52922,0.924,0.65778,0.86245,0.62539,0.47096,0.74357,0.62173,1.0232,0.00079238,0.00079238,0.00079238
47,1429.8,0.89738,0.51449,0.91829,0.72303,0.9049,0.77151,0.59022,0.69986,0.47006,1.00103,0.000778233,0.000778233,0.000778233
48,1462.14,0.89813,0.51521,0.91417,0.6858,0.71891,0.74945,0.53817,0.68178,0.48431,0.97806,0.000764086,0.000764086,0.000764086
49,1494.55,0.89915,0.50691,0.91316,0.6505,0.74283,0.67581,0.50272,0.72484,0.54096,0.99924,0.000749939,0.000749939,0.000749939
50,1523.13,0.89478,0.51415,0.91311,0.66566,0.83003,0.68447,0.52629,0.70493,0.5114,0.9922,0.000735792,0.000735792,0.000735792
51,1555.42,0.90148,0.50944,0.91687,0.75676,0.7347,0.737,0.55846,0.70747,0.48587,0.98188,0.000721645,0.000721645,0.000721645
52,1587.7,0.88697,0.51134,0.91189,0.71228,0.84546,0.69554,0.53407,0.6914,0.42498,0.9846,0.000707498,0.000707498,0.000707498
53,1619.83,0.8947,0.51476,0.91763,0.72533,0.7149,0.75289,0.57602,0.73624,0.53727,1.01071,0.000693351,0.000693351,0.000693351
54,1652.4,0.86078,0.49464,0.90811,0.75535,0.77958,0.71132,0.53153,0.70376,0.53243,0.99342,0.000679204,0.000679204,0.000679204
55,1683.46,0.88719,0.4982,0.9141,0.72865,0.71132,0.69669,0.53986,0.67572,0.49339,0.9869,0.000665057,0.000665057,0.000665057
